RSC,PI,KR,MH,Na,SAR,SSP,EC,IWQI,USABLE
0.0,50.3,0.2,32.2,15.6,0.6,15.6,712.0,39.75714285714285,0.0
-0.5,45.0,0.0,41.7,3.2,0.1,3.2,505.0,23.7468253968254,0.0
-0.5,41.7,0.0,36.2,3.3,0.1,3.3,607.0,23.538789682539687,0.0
-0.4,43.2,0.1,36.2,5.2,0.2,5.2,627.0,27.111507936507937,0.0
-0.5,48.3,0.0,32.5,2.9,0.1,2.9,418.0,20.417361111111113,0.0
-0.5,41.8,0.1,32.8,5.0,0.2,5.0,656.0,25.38234126984127,0.0
-0.3,52.5,0.1,23.1,7.6,0.2,7.6,430.0,24.56388888888889,0.0
-0.5,44.6,0.1,30.9,6.6,0.2,6.6,598.0,25.340674603174605,0.0
-0.6,41.8,0.0,36.2,4.1,0.2,4.1,612.0,23.159424603174603,0.0
-0.5,43.1,0.0,35.2,3.6,0.1,3.6,569.0,23.074206349206353,0.0
-0.6,43.2,0.1,37.0,4.4,0.2,4.4,581.0,24.09484126984127,0.0
-0.5,41.4,0.0,32.2,3.3,0.1,3.3,620.0,22.70188492063492,0.0
-0.4,42.9,0.1,33.9,5.1,0.2,5.1,633.0,26.526686507936507,0.0
-0.5,43.9,0.1,26.3,6.4,0.2,6.4,622.0,24.3531746031746,0.0
-0.5,45.0,0.0,37.5,3.2,0.1,3.2,506.0,22.713492063492065,0.0
-0.5,46.4,0.0,45.5,2.7,0.1,2.7,428.0,23.38224206349206,0.0
-0.5,44.2,0.0,31.4,3.8,0.1,3.8,538.0,21.916468253968254,0.0
-0.3,52.5,0.1,38.5,7.6,0.2,7.6,436.0,28.513888888888886,0.0
-0.4,49.4,0.1,31.0,5.6,0.2,5.6,457.0,24.31031746031746,0.0
-2.2,34.2,0.1,36.8,7.0,0.3,7.0,497.0,6.5696428571428545,0.0
-0.6,41.2,0.1,37.7,4.4,0.2,4.4,647.0,25.012698412698413,0.0
-0.5,47.8,0.0,41.5,2.8,0.1,2.8,435.0,22.805158730158727,0.0
-0.6,45.8,0.0,45.7,4.2,0.1,4.2,487.0,24.152182539682542,0.0
-0.4,38.3,0.1,38.5,5.2,0.2,5.2,833.0,30.24484126984127,0.0
-1.8,36.2,0.1,35.3,4.9,0.2,4.9,723.0,13.067757936507936,0.0
-0.6,40.0,0.0,37.5,3.8,0.1,3.8,673.0,23.941468253968253,0.0
0.0,0.4,1.6,44.3,70.9,21.8,55.4,1480.0,100.29156746031747,1.0
0.0,0.4,0.5,39.4,68.5,23.6,53.6,2415.0,105.53323412698413,1.0
0.0,0.4,0.7,54.5,78.9,30.2,34.7,3472.0,131.69990079365078,1.0
0.0,0.3,1.4,46.8,78.7,21.4,52.6,4772.0,155.55843253968254,1.0
0.0,0.4,0.5,69.6,70.6,29.1,33.0,16598.0,348.79226190476186,1.0
