RSC,PI,KR,MH,Na,SAR,SSP,EC,IWQI,USABLE
-3.47,48.1,0.4,21.2,31.5,1.4,35.1,432.0,9.313591269841268,0.0
-4.44,41.3,0.3,54.9,26.1,1.2,32.1,564.0,5.614583333333329,0.0
-7.26,44.2,0.6,52.9,37.9,2.4,45.6,489.0,-13.42172619047619,0.0
-2.87,52.8,0.5,43.2,37.7,1.7,41.0,1640.0,46.24037698412698,0.0
-5.0,55.8,0.8,38.7,45.1,3.1,51.5,1850.0,36.26081349206349,0.0
-2.42,57.1,0.6,43.4,39.3,1.9,45.3,489.0,34.92212301587301,0.0
-6.11,40.1,0.5,47.5,32.8,1.7,38.9,536.0,-7.80873015873016,0.0
-4.97,53.4,0.7,55.3,44.6,2.7,51.6,615.0,18.45654761904762,0.0
-7.17,70.8,1.9,45.2,66.2,8.1,73.0,485.0,20.722023809523797,0.0
-7.18,56.8,1.1,38.2,55.0,4.3,59.5,406.0,-1.1251984126984125,0.0
-4.92,45.4,0.5,57.6,33.0,1.7,39.9,437.0,6.225198412698413,0.0
-6.1,47.2,0.6,51.9,36.3,2.3,44.2,429.0,-3.4554563492063464,0.0
-3.48,66.0,1.2,47.1,55.2,4.1,62.5,483.0,42.53293650793651,0.0
-6.75,35.4,0.4,42.9,27.8,1.4,32.5,444.0,-21.935515873015873,0.0
-3.89,49.1,0.5,49.7,34.7,1.7,41.5,494.0,17.0921626984127,0.0
-4.85,49.8,0.6,37.2,37.4,2.2,43.4,1550.0,24.59146825396825,0.0
-2.39,55.5,0.5,48.5,36.4,1.7,43.4,1265.0,46.79126984126984,0.0
-3.42,57.3,0.7,29.2,43.1,2.5,48.8,1320.0,38.5703373015873,0.0
-5.3,38.9,0.3,41.8,25.6,1.2,29.8,1555.0,9.096428571428568,0.0
-2.1,66.2,1.0,39.1,49.9,3.0,56.8,1330.0,62.97351190476191,1.0
-3.51,49.5,0.5,40.2,34.2,1.7,38.9,1410.0,33.04900793650794,0.0
-3.46,55.3,0.7,37.4,40.2,2.3,46.6,1205.0,36.35138888888889,0.0
-2.83,56.7,0.6,39.1,39.8,2.2,46.2,1180.0,41.781944444444434,0.0
-2.69,48.7,0.4,30.9,29.2,1.3,32.2,1363.0,33.64920634920635,0.0
-2.6,53.3,0.5,49.0,39.9,1.7,41.0,1280.0,45.167162698412696,0.0
-3.11,45.9,0.3,46.9,28.8,1.2,31.6,1305.0,30.804761904761904,0.0
-2.71,64.9,1.0,26.3,50.8,3.1,55.9,543.0,40.45039682539682,0.0
-5.85,61.4,1.2,30.1,56.7,4.5,61.3,492.0,14.358035714285714,0.0
-3.81,45.4,0.4,44.5,30.9,1.4,34.4,1630.0,30.86061507936508,0.0
-3.77,70.6,1.5,23.1,61.3,5.5,66.1,1800.0,62.6828373015873,1.0
-3.67,55.8,0.7,49.2,42.4,2.5,49.7,465.0,26.558730158730157,0.0
-6.43,47.1,0.7,44.3,40.9,2.5,47.6,506.0,-4.130257936507929,0.0
-4.7,54.4,0.7,41.0,46.1,2.7,50.5,589.0,17.520535714285714,0.0
-5.25,39.7,0.4,35.0,28.7,1.3,32.2,414.0,-8.50585317460317,0.0
-4.7,62.5,1.3,28.1,57.5,4.2,62.4,424.0,25.57113095238095,0.0
-5.35,50.5,0.6,40.5,45.5,2.4,45.8,490.0,6.1449404761904844,0.0
-1.59,72.4,1.3,25.4,60.5,3.7,61.6,442.0,58.45426587301587,1.0
-3.79,63.7,1.1,51.3,56.9,3.8,60.9,500.0,39.44513888888889,0.0
-5.76,39.9,0.4,38.3,36.6,1.6,36.1,469.0,-8.176388888888885,0.0
-3.46,56.8,0.7,56.6,46.8,2.4,51.4,509.0,33.15119047619048,0.0
-5.74,48.6,0.6,39.1,39.5,2.3,44.0,1560.0,16.994543650793645,0.0
-3.07,53.1,0.5,48.5,40.2,1.8,43.6,1355.0,42.36964285714286,0.0
-3.83,63.0,1.1,45.6,55.7,3.7,59.4,1263.0,49.392361111111114,0.0
-3.57,50.9,0.5,25.4,46.4,1.8,39.7,1565.0,35.66428571428572,0.0
-3.87,59.1,0.9,44.9,48.5,3.1,54.2,1310.0,43.27093253968253,0.0
-4.33,43.3,0.4,43.6,42.1,1.4,33.1,1340.0,23.402281746031747,0.0
-1.44,67.0,0.9,35.9,52.6,2.5,53.4,1260.0,66.56289682539683,1.0
-1.03,70.9,1.0,56.2,56.5,2.9,59.5,1207.0,79.40585317460318,1.0
-2.97,48.1,0.4,30.9,36.7,1.3,32.9,1323.0,32.59414682539682,0.0
-1.31,65.9,0.8,46.7,48.3,2.4,52.5,1245.0,67.64494047619047,1.0
-2.01,57.9,0.6,51.9,39.3,1.9,45.2,1020.0,50.11498015873016,1.0
